node_id,feature_id
554,2835
554,4518
554,2198
554,2014
554,3818
554,3045
554,4570
554,4585
554,4596
554,4599
554,4609
554,4617
554,4627
554,4641
554,4643
554,4651
554,4665
554,4676
554,4682
554,4694
554,4696
554,4708
6350,4477
6350,2895
6350,4039
6350,3282
6350,765
6350,2669
7787,1151
7787,631
7787,2613
7787,2791
7787,648
7787,1684
7787,3818
7787,107
7787,1878
7787,1105
7787,4570
7787,4585
7787,4596
7787,4599
7787,4613
7787,4618
7787,4628
7787,4640
7787,4647
7787,4651
7787,4668
7787,4670
7787,4678
7787,4695
7787,4696
7787,4708
4506,2835
4506,2320
4506,3643
4506,2926
4506,3320
4506,1792
4506,3056
4506,4575
4506,4584
4506,4594
4506,4599
4506,4611
4506,4621
4506,4629
4506,4639
4506,4646
4506,4654
4506,4667
4506,4672
4506,4682
4506,4693
4506,4699
4506,4711
18282,1080
18282,1326
18282,2158
18282,2868
18282,4173
18282,2118
18282,4479
18282,448
18282,4575
18282,4583
18282,4592
18282,4597
18282,4612
18282,4622
18282,4630
18282,4637
18282,4650
18282,4658
18282,4662
18282,4676
18282,4684
18282,4689
18282,4698
18282,4708
20267,3251
20267,2620
20267,693
20267,216
20267,1444
20267,1602
20267,1871
20267,1910
3761,1080
3761,4193
3761,2198
3761,3381
3761,559
3761,4355
3761,1830
3761,4576
3761,4584
3761,4593
3761,4602
3761,4611
3761,4620
3761,4627
3761,4637
3761,4645
3761,4657
3761,4664
3761,4674
3761,4683
3761,4692
3761,4700
3761,4709
3560,3383
3560,1625
3560,2431
3560,3551
3560,779
3560,4577
3560,4586
3560,4588
3560,4598
3560,4606
3560,4616
3560,4632
3560,4639
3560,4645
3560,4659
3560,4668
3560,4676
3560,4679
3560,4691
3560,4697
3560,4705
21102,806
21102,1326
21102,1940
21102,2431
21102,2887
21102,2475
21102,70
21102,4575
21102,4582
21102,4592
21102,4602
21102,4610
21102,4619
21102,4627
21102,4639
21102,4646
21102,4656
21102,4664
21102,4675
21102,4683
21102,4690
21102,4699
21102,4709
17087,2835
17087,3832
17087,1865
17087,2868
17087,2306
17087,3822
17087,110
16801,2991
16801,3832
16801,2613
16801,928
16801,648
16801,2032
13517,4026
13517,2052
13517,80
13517,2926
13517,959
13517,494
13517,4292
13517,1577
13517,4572
13517,4581
13517,4589
13517,4599
13517,4608
13517,4617
13517,4627
13517,4641
13517,4648
13517,4653
13517,4668
13517,4676
13517,4679
13517,4693
13517,4704
13517,4710
2449,700
2449,3650
2449,2703
2449,3939
2449,2332
2449,1711
9049,3383
9049,3446
9049,3939
